SiteID,SiteName,Project,TYPE,MGMT2,Stream,Drain_Density,Ave_Ann_CWD,Ave_Annual_Precip,Ave_Basin_Elev,MTBS_mod_sev_km2,MTBS_high_sev_km2,Harv_Intensity_High,Harv_Intensit_Med,Harv_Intensit_L,RoadLength_Km,RoadDens_km2,ShedAreakm2,PCT_HIGH_harv_int,PCT_MOD_harv_int,PCT_MTBS_mod,PCT_MTBS_high,Pct_NFS,MeanBF,MeanBankAn,MeanWDTran,MeanStab,Mgmt,MeanGrad,MeanPoolDp,MeanPoolFr,MeanD50,MeanPoolPc,MeanPTFine,MeanLWFrq,MeanUnCutP,,,,
73,014-06-I,CRB,I,M,Quartz,1.08,319.48,840.21,825.65,0.00,0.00,0.18,0.53,0.13,13.23,1.89,7.01,2.56,7.54,0.00,0.00,74.10,3.21,103.50,8.44,98.61,Managed,0.48,0.46,114.71,0.00,69.52,99.94,138.25,30.75,,,,
75,015-06-IS,CRB,IS,R,Hughes,1.54,153.89,1217.84,1339.37,4.03,1.84,0.05,0.07,0.00,6.21,0.16,39.77,0.12,0.17,10.13,4.63,99.85,9.48,86.69,19.77,91.83,Reference,0.21,1.09,21.39,0.01,80.33,26.27,231.34,54.95,,,,
76,015-09-IKS,CRB,IKS,M,Lamb,1.58,255.80,829.05,1014.55,0.00,0.00,3.03,7.15,1.93,51.02,1.52,33.63,9.01,21.26,0.00,0.00,96.96,6.33,95.85,13.88,98.28,Managed,0.57,0.39,42.63,0.00,60.72,73.67,256.93,45.61,,,,
79,016-07-I,CRB,I,M,Myrtle,0.72,123.10,1536.19,1679.85,0.00,0.00,0.56,1.33,0.00,10.92,0.46,23.97,2.35,5.53,0.00,0.00,84.42,10.49,83.75,21.14,93.52,Managed,0.44,0.40,31.40,0.02,60.03,28.45,992.85,57.14,,,,
80,016-09-I,CRB,I,M,Ball,0.93,115.23,1497.93,1726.55,0.00,0.00,0.56,0.42,2.29,13.48,0.44,30.65,1.83,1.38,0.00,0.00,100.00,9.82,83.50,16.67,95.97,Managed,0.57,0.60,36.55,0.02,68.05,13.09,875.19,55.40,,,,
82,017-01-I,CRB,I,M,Dubius,1.15,311.94,779.56,786.62,0.00,0.00,0.97,3.80,0.16,4.06,0.52,7.79,12.45,48.81,0.00,0.00,79.54,2.56,97.00,11.13,98.84,Managed,2.10,0.19,148.61,0.01,56.39,51.15,412.09,42.99,,,,
83,017-15-I,CRB,I,M,Benton,0.96,268.47,1012.89,1030.50,0.00,0.00,1.58,1.04,0.62,29.13,3.84,7.60,20.83,13.63,0.00,0.00,99.87,2.82,87.33,11.71,99.21,Managed,1.48,0.46,94.06,0.01,63.42,46.96,308.40,55.80,,,,
84,017-20-I,CRB,I,M,Cocolalla,1.02,302.49,883.11,1089.53,0.00,0.00,1.47,1.99,0.19,11.12,2.17,5.12,28.67,38.95,0.00,0.00,99.44,3.66,103.50,12.10,99.38,Managed,2.35,0.25,96.06,0.02,40.95,19.09,537.86,36.18,,,,
85,018-05-I,CRB,I,M,N.F. Grouse,1.25,252.96,999.51,1253.07,0.00,0.00,2.48,5.08,2.26,23.65,0.63,37.25,6.65,13.65,0.00,0.00,70.87,9.93,108.50,25.26,89.75,Managed,1.23,0.30,36.44,0.05,35.46,8.61,371.57,32.60,,,,
86,018-18-I,CRB,I,M,Grouse,1.46,256.96,1099.41,1309.30,0.00,0.00,1.93,3.77,1.42,24.15,0.32,78.24,2.47,4.81,0.00,0.00,93.74,17.84,111.50,35.72,90.60,Managed,1.57,0.31,8.84,0.10,9.30,6.95,149.11,33.12,,,,
