site_id,AUG_ET_2000-2015_CPG_all,awc_int_100_CPG_all,BaseflowIndex_CPG_all,clay_100_CPG_all,dwta_CPG_all,fac_taudem_17all_int,hydrogrpA_100_CPG_all,hydrogrpB_100_CPG_all,hydrogrpC_100_CPG_all,hydrogrpD_100_CPG_all,impermeable_100_CPG_all,JUL_ET_2000-2015_CPG_all,nlcd_2011_Forest_100_CPG_all,nlcd_2011_Wetlands_100_CPG_all,permeable_100_CPG_all,sand_100_CPG_all,SEP_ET_2000-2015_CPG_all,silt_100_CPG_all,slope_percent_int_CPG_all,streamslope_percent_int_CPG_all,SWE_AVG_0301_CPG_all,SWE_AVG_0401_CPG_all,SWE_AVG_0501_CPG_all,SWE_AVG_0601_CPG_all,SWE_AVG_0701_CPG_all,SWE_AVG_0801_CPG_all,TWI_100_int_CPG_all,US_Precip_1981-2010_CPG_all,US_TMAX_1981-2010_int_CPG_all,site_name,project,type,mgmt2,stream,drain_dens,ave_ann_cw,ave_annual,ave_basin_,mtbs_mod_s,mtbs_high_,harv_inten,harv_int_1,harv_int_2,road_lengt,road_dens_,shed_areak,pct_high_h,pct_mod_ha,pct_mtbs_m,pct_mtbs_h,pct_nfs,mean_bf,mean_bank_,mean_wd_tr,mean_stab,mgmt,mean_grad,mean_pool_,mean_pool1,mean_d50,mean_poo_1,mean_pt_fi,mean_lw_fr,mean_un_cu,precip_cut,shed_cut,spatial_cl,normalize_,all_harves,higher_tha,residuals,MAP_UNIT_N,MAP_UNIT_D,MAP_UNIT_S,all_fire,utm1,utm2
87,131,8,67,520,201,36162,0,100,0,0,37,143,97,0,63,6020,46,3440,43,26,315,313,168,26,0,0,635,120754,1062,020-01-I,CRB,I,M,Independence,1.38,276.23,1212.67,1253.87,0,0,0,1.1,0.4,23.44,0.72,32.54,0,3.39,0,0,99.45,10.29,98.25,24.47,93.03,Managed,1.3,0.41,38.92,0.04,48.52,11.46,576.96,44.45,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,8.48540823142,3.39,Low Harvest,1.18347167453,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1520859.2701153988,2930470.6227563485
88,130,8,68,520,201,18699,0,100,0,0,11,143,93,0,89,6020,49,3440,45,27,181,124,46,2,0,0,633,112953,1100,020-02-I,CRB,I,M,West Gold,1.1,273.67,1145.55,1179.14,0,0,4.5,1.67,2.05,32.26,1.93,16.68,26.95,10,0,0,100,6.14,125.5,19.48,98.75,Managed,3.26,0.36,64.07,0.05,37.22,7.29,405.16,17.1,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,5.35987080442,36.95,High Harvest,-0.230909622062,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1529403.3310653246,2937809.3271149336
89,120,8,66,520,201,12754,0,100,0,0,100,135,97,0,0,6020,40,3440,43,26,301,294,135,16,0,0,628,106601,1113,020-03-IS,CRB,IS,R,Emerson,1.39,307.23,1069.21,1174.71,0,0,0.34,0,0,4.46,0.39,11.47,2.93,0.02,0,0,100,4.75,102,14.33,95.96,Reference,1.98,0.23,60.97,0.04,32.73,16.72,158.84,39.12,"(839,1.1e+03]","[1.11,25.4]",3,4.44253233696,2.95,Low Harvest,-0.262239684316,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1512874.065361499,2929907.87095911
90,105,9,65,568,201,12131,7,93,0,0,100,123,96,0,0,5173,26,4238,40,27,325,331,163,15,0,0,640,118374,1022,020-04-I,CRB,I,R,Jordan,1.47,299.4,1179.68,1304.51,0,0,0,0,2.37,4.33,0.4,10.95,0,0,0,0,100,6.2,109.75,21.76,92.52,Reference,2.35,0.24,26.69,0.04,15.63,7.7,57.23,32.11,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,5.25566255256,0,Low Harvest,0.66969150145,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1499161.1838462357,2930789.4987359187
91,129,9,65,505,163,14962,0,100,0,0,100,145,95,0,0,5826,48,3618,45,34,237,197,94,5,0,0,621,114732,1163,020-08-I,CRB,I,M,Brett,1.63,318.98,1161.84,1153.41,0,0,0.75,0.6,8.56,5.45,0.41,13.39,5.56,4.46,0,0,100,4.83,112.25,16.03,98.22,Managed,2.66,0.17,45.77,0.05,21.16,16.81,163.11,31.55,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,4.15719892584,10.02,Low Harvest,-0.871008555773,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1506361.3862370406,2921280.5247228798
92,126,8,66,520,201,11341,0,100,0,0,14,138,98,0,86,6020,44,3440,45,28,286,277,136,17,0,0,621,103508,1112,020-13-I,CRB,I,R,North,1.18,300.32,1039.36,1191.38,0,0,0,0.01,0,3.02,0.3,10.13,0,0.14,0,0,100,4.04,115.5,13.07,98.19,Reference,1.88,0.26,26.73,0.05,15.71,11.15,67.05,24.88,"(839,1.1e+03]","[1.11,25.4]",3,3.88700738916,0.14,Low Harvest,-0.499650122532,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1515932.6953797003,2932621.481451646
93,132,8,67,564,188,74693,0,100,0,0,52,147,96,1,48,5749,49,3656,40,23,272,251,141,16,0,0,642,124083,1123,020-16-I,CRB,I,M,Trail,1.73,299.18,1242.14,1196.73,0,0,0.02,13.12,2.56,142.22,2.11,67.31,0.03,19.49,0,0,99.94,13.01,128.33,40.34,100,Managed,0.64,0.34,15.47,0.05,31.18,8.42,43.96,16.83,"(1.1e+03,1.35e+03]","(49.8,74.1]",3,10.4738596293,19.52,Low Harvest,1.31076863024,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1516939.64968682,2923080.581902681
94,138,8,67,520,201,19769,0,100,0,0,2,150,99,0,98,6020,55,3440,44,25,176,123,45,0,0,0,630,124988,1187,021-07-I,CRB,I,M,Laverne,1.77,328.34,1247.16,1082.29,0,0,0.01,3.4,0.53,98.67,5.55,17.78,0.04,19.14,0,0,100,6.12,118,19.88,99.48,Managed,1.73,0.24,29.36,0.07,22.24,6.34,83.94,24.89,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,4.90714904262,19.18,Low Harvest,-0.847162102256,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1528319.3387466404,2910389.0383066335
95,128,8,66,507,187,33068,0,100,0,0,100,145,94,0,0,5978,43,3483,41,28,204,149,63,0,0,0,634,118216,1184,021-08-I,CRB,I,M,W.F. Steamboat,1.77,328.49,1182.7,1111.6,0,0,7.04,6.38,5.78,60.8,2.04,29.8,23.62,21.42,0,0,98.81,7.05,131,23.62,97.62,Managed,1.73,0.21,33.06,0.09,24.03,5.42,75.6,14.35,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,5.96093683944,45.04,High Harvest,-1.1157636075,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1515391.8690213321,2908647.5875073406
96,146,12,68,1151,55,39973,0,100,0,0,86,158,99,0,14,3574,59,5273,37,23,138,98,45,3,0,0,646,128122,1214,021-10-I,CRB,I,M,Copper,1.57,335.81,1288.79,1080.5,0,0,1.31,7.46,1.64,105.36,2.93,35.94,3.66,20.77,0,0,99.55,7.54,129,23.01,98.42,Managed,0.8,0.46,24.64,0.08,33.84,19.62,139.78,14.42,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,5.85044887065,24.43,Low Harvest,-1.70596364665,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1529735.192066167,2903912.981816456
97,150,12,65,1160,53,4355,0,100,0,0,0,164,98,0,100,3540,63,5300,32,19,58,20,1,0,0,0,647,105048,1278,021-15-I,CRB,I,M,Trib of Armstrong,1.4,353.14,1050,991.54,0,0,0.42,0,0,8.8,2.23,3.95,10.66,0,0,0,100,4.11,89.67,13.81,96.79,Managed,3.81,0.17,74.78,0.04,25.67,24.19,228.74,53.97,"(839,1.1e+03]","[1.11,25.4]",3,3.91428571429,10.66,Low Harvest,2.0120585864,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1548480.1764874547,2897421.861424009
98,145,8,66,521,201,16142,0,100,0,0,24,161,96,0,76,6014,61,3445,43,29,128,66,19,0,0,0,628,112700,1258,021-16-I,CRB,I,M,Bumblebee,1.83,359.73,1136.87,1003.72,0,0,1.18,1.82,1.01,49,3.38,14.5,8.15,12.58,0,0,99.83,5.2,113.25,18.09,93.92,Managed,1.24,0.38,39.73,0.04,32.8,15.57,90.2,27.49,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,4.5739618426,20.73,Low Harvest,-0.658174308103,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1522650.4575950028,2900968.123325695
100,133,8,66,520,201,34760,0,100,0,0,46,148,97,0,54,6019,51,3441,44,30,198,148,71,1,0,0,627,125283,1190,021-20-I,CRB,I,M,Leiberg,1.52,324.67,1253.22,1092.84,0,0,0.02,5.97,0.66,77.06,2.47,31.23,0.06,19.12,0,0,100,6.86,132,22.71,100,Managed,1.42,0.37,25.02,0.08,27.96,6.86,85.95,10.33,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,5.47389923557,19.18,Low Harvest,-1.7228192495,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1528568.207797774,2911888.1722742324
101,113,9,66,591,201,10093,0,100,0,0,10,132,87,0,90,5026,37,4375,46,31,308,293,167,35,3,0,645,121638,1028,022-09-I,CRB,I,M,Rampike,1.17,309.02,1192.3,1301.77,0,0,0.6,1.73,0.8,30.94,3.41,9.06,6.65,19.12,0,0,100,5.3,104.5,17.39,97.7,Managed,1.52,0.29,56.81,0.03,40.45,12.02,252.77,38.51,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,4.44518996897,25.77,Low Harvest,0.417258850884,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1495208.2701033086,2915867.4244187176
102,121,8,66,531,201,24819,0,100,0,0,70,138,95,0,30,5870,44,3583,41,28,262,235,97,8,0,0,648,117393,1084,022-13-I,CRB,I,R,E.F. Lost,3.13,330.32,1171.65,1245.62,0.22,0.02,0.07,0.09,3.31,9.55,0.43,22.33,0.3,0.42,1,0.09,100,9.55,88.25,19.83,98.98,Reference,1.8,0.38,49.1,0.04,44.92,12.22,376.4,53.41,"(1.1e+03,1.35e+03]","[1.11,25.4]",3,8.15089830581,0.72,Low Harvest,1.74025416374,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,1.09,-1494298.44011764,2904059.6994736805
103,115,9,66,582,201,46034,1,99,0,0,66,134,93,0,34,5131,38,4276,48,33,288,272,142,17,0,0,640,121656,1031,022-12-I,CRB,I,M,W.F. Eagle,1.03,308.29,1214.7,1333.62,8.16,3.18,3.25,1.08,2.7,58.73,1.42,41.42,7.85,2.6,19.69,7.67,99.36,10.79,108,22.61,97.63,Managed,1.61,0.51,20.95,0.08,26.12,2.65,168.48,35.87,"(1.1e+03,1.35e+03]","(25.4,49.8]",3,8.88285173294,10.45,Low Harvest,0.963054659116,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,27.36,-1492469.5244678704,2899258.707105463
121,115,6,65,794,201,61284,15,85,0,0,96,133,94,0,4,6163,39,2984,48,33,340,341,195,38,2,0,642,117395,1033,026-01-I,CRB,I,M,E.F. Elk,2.27,281.39,1170.92,1296.05,0,0,0.37,0.53,0.77,40.43,0.73,55.11,0.68,0.96,0,0,98.81,11.06,102.25,28.27,95.06,Managed,0.67,0.44,20.33,0.04,42.53,17.04,153.58,38.6,"(1.1e+03,1.35e+03]","(49.8,74.1]",3,9.44556417176,1.64,Low Harvest,0.794538973426,Bitterroot Mountains,"This section has steep dissected mid- to high-elevation mountains with metasedimentary geologic composition. Vegetation is mountain grasslands, lodgepole pine, and Douglas-fir cover types.",M333D,0,-1493487.0769071165,2935175.3897516243
