term,p.value
mgmtReference,0.2818504734421924
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.8494221337820973
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.28611136083121047
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.29115442075108483
mgmtReference,NA
mgmtReference,0.5662588661017144
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.006040815235566859
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.1487997087173828
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.16310179720713788
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.5394805615743401
mgmtReference,0.09352412607255368
mgmtReference,NA
mgmtReference,0.012453573489923783
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.05032782374711531
mgmtReference,0.02050973158676764
mgmtReference,0.13701824647379984
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.1296116835130871
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.33791142467486235
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.43091893796463454
mgmtReference,NA
mgmtReference,0.10382652437749498
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.9851819268283112
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.017139259254906482
mgmtReference,0.28120404838114055
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.12529218548042684
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.38471576887571357
mgmtReference,0.5259229316907796
mgmtReference,0.9175079370246761
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.31232597627025277
mgmtReference,NA
mgmtReference,0.39474795506644766
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.11566969029511194
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.03932784048378035
mgmtReference,NA
mgmtReference,0.039408722150815145
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.20976168851292923
mgmtReference,0.16767638517015998
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.38477368672380374
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.8728166062906342
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.42478392330447245
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,0.33983889478697427
mgmtReference,NA
mgmtReference,0.7039326086578053
mgmtReference,0.17923221707948894
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
mgmtReference,NA
